#Digilent WaveForms Network Analyzer - Bode,,,,,,,,,
#Device Name: Discovery2,,,,,,,,,
#Serial Number: SN:210321AD95A0,,,,,,,,,
#Date Time: 2020-05-28 13:00:58.045,,,,,,,,,
#Start: 100 Hz,,,,,,,,,
#Stop: 1e+07 Hz,,,,,,,,,
#Steps: 201,,,,,,,,,
#Wavegen: Wavegen2,,,,,,,,,
#Amplification: 1 X,,,,,,,,,
#Settle: 10 ms,,,,,,,,,
#MinPeriods: 16 ,,,,,,,,,
#Channel: Channel 1,,,,,,,,,
#Range: 5.52426 V,,,,,,,,,
#Offset: -0.00012377 V,,,,,,,,,
#Relative: no,,,,,,,,,
#Channel: Channel 2,,,,,,,,,
#Range: 5.51327 V,,,,,,,,,
#Offset: -0.000290047 V,,,,,,,,,
#Relative: yes,,,,,,,,,
#Power Supplies: OFF,,,,,,,,,
#Positive Supply: Rdy,,,,,,,,,
#Voltage: 4.3 V,,,,,,,,,
#Negative Supply: OFF,,,,,,Data used to create graph:,,,
#Voltage: -1 V,,,,,,,,,
,,,,,,,,,
Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg),,,Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
39810.71706,-0.051350934,-57.25717063,100.309202,,,,,,
42169.65034,-0.053932159,-59.19123823,94.97918833,,,,,,
44668.35922,-0.047510975,-58.63112358,85.05125066,,,,,,
47315.1259,-0.0449761,-57.12762902,72.52604286,,,,,,
50118.72336,-0.049838568,-61.97538076,89.74015906,,,,,,
53088.44442,-0.048887981,-55.4926634,79.769773,,,,,,
56234.13252,-0.04595511,-55.77017868,96.4152429,,,,,,
59566.21435,-0.051817514,-55.26546489,74.95652129,,,,,,
63095.73445,-0.029291493,-55.7689126,75.58649854,,,,,,
66834.39176,-0.031812097,-55.58706766,56.01194521,,,,,,
70794.57844,-0.034318875,-56.80561236,50.71967257,,,,,,
74989.42093,-0.032714943,-55.86586037,53.0089956,,,,,,
79432.82347,-0.032502248,-54.31561962,76.17542346,,,,,,
84139.51416,-0.02310573,-56.28546572,49.6931254,,,,,,
89125.09381,-0.011947711,-53.39132827,58.13202018,,,,,,
94406.08763,-0.011017019,-55.80026057,37.85025919,,,,,,
100000,-0.015716247,-54.45298863,49.89563576,,,,,,
105925.3725,-0.016207275,-56.52153029,49.56775384,,,,,,
112201.8454,-0.008450082,-55.12557163,52.74227669,,,,,,
118850.2227,-0.010801101,-52.10304476,59.59246977,,,,,,
125892.5412,0.002437187,-54.80208374,46.33248804,,,,,,
133352.1432,-0.005955215,-55.80092707,64.61589968,,,,,,
141253.7545,0.008325546,-54.38823162,59.23628241,,,,,,
149623.5656,-0.017944347,-55.02848712,29.59318512,,,,,,
158489.3192,0.000622082,-56.72713716,67.5588902,,,,,,
167880.4018,-0.020088923,-56.82371731,55.39134993,,,,,,
177827.941,-0.011444579,-57.31068079,50.64153146,,,,,,
188364.9089,-0.001712928,-58.41344385,56.19184865,,,,,,
199526.2315,-0.006094139,-57.33751724,78.07654504,,,,,,
211348.904,-0.000571938,-58.17209064,90.30515346,,,,,,
223872.1139,-0.010449594,-57.62627055,78.52344859,,,,,,
237137.3706,-0.019112578,-66.48727717,72.87209344,,,,,,
251188.6432,-0.019522388,-54.27827033,104.2155584,,,,,,
266072.506,-0.020873371,-59.94053418,106.5195649,,,,,,
281838.2931,-0.017436033,-54.0022161,132.1759823,,,,,,
298538.2619,-0.046419321,-54.4240941,159.3410095,,,,,,
316227.766,-0.026844427,-56.16867699,140.2242342,,,,,,
334965.4392,-0.039713137,-51.23316193,156.1479786,,,,,,
354813.3892,-0.03452529,-48.8816032,161.6001829,,,,,,
375837.4043,-0.035164958,-46.65407379,164.9379511,,,,,,
398107.1706,-0.042417313,-46.64234359,170.8424774,,,,,,
421696.5034,-0.040441488,-44.44271988,173.5797016,,,,,,
446683.5922,-0.038584137,-42.53734107,172.2305271,,,,,,
473151.259,-0.035474161,-41.7929742,179.1908767,,,,,,
501187.2336,-0.034563213,-40.22375993,174.630715,,,,,,
530884.4442,-0.040515818,-39.17459531,172.2594555,,,,,,
562341.3252,-0.022994352,-37.57298723,174.9557396,,,,,,
595662.1435,-0.017925661,-36.59164932,176.0942991,,,,,,
630957.3445,-0.012081828,-35.2100721,175.154798,,,,,,
668343.9176,0.001617583,-34.23853432,175.4088698,,,,,,
707945.7844,0.006565452,-32.87999221,176.3933915,,,,,,
749894.2093,0.014248072,-31.99517117,175.7392316,,,,,,
794328.2347,0.041073665,-30.62609303,176.6178088,,,,,,
841395.1416,0.059095154,-29.64293606,176.4286814,,,,,,
891250.9381,0.084954012,-28.41969066,176.1336634,,,,,,
944060.8763,0.113309757,-27.27871296,176.0605192,,,,,,
1000000,0.141400874,-26.08285097,175.5613499,,,,,,
1059253.725,0.178733087,-24.91355922,175.8571677,,,,,,
1122018.454,0.21980662,-23.7861874,175.8573493,,,,,,
1188502.227,0.269726367,-22.55836088,176.0202546,,,,,,
1258925.412,0.329714526,-21.3830908,175.6173507,,,,,,
1333521.432,0.398574606,-20.22364522,175.5395876,,,,,,
1412537.545,0.479856177,-18.9461481,175.3426811,,,,,,
1496235.656,0.572563193,-17.68283246,175.187036,,,,,,
1584893.192,0.691642167,-16.38923059,174.8889586,,,,,,
1678804.018,0.821375197,-15.04047363,174.7215035,,,,,,
1778279.41,1.007141065,-13.63162912,174.4001623,,,,,,
1883649.089,1.225531396,-12.17381147,174.0298155,,,,,,
1995262.315,1.485300406,-10.60745931,173.572794,,,,,,
2113489.04,1.854957843,-8.946808283,173.1092089,,,,,,
2238721.139,2.338410425,-7.146231304,172.4199501,,,,,,
2371373.706,3.013976353,-5.149864669,171.4930103,,,,,,
2511886.432,3.975509667,-2.892066024,170.1515037,,,,,,
2660725.06,5.278994731,-0.241816983,168.117601,,,,,,
2818382.931,5.921480104,3.043570196,164.568739,,,,,,
2985382.619,0.797377355,7.447429802,156.9691496,,,,,,
3162277.66,-8.899848997,14.02094997,132.7512512,,,,,,
3349654.392,-13.53815188,16.10496094,54.95578649,,,,,,
3548133.892,-9.486447135,10.18690499,21.29864436,,,,,,
3758374.043,-7.209660516,6.520615664,11.86342823,,,,,,
